Epochs,origsum F1-score,trimsum_f1_scores,cnnsum_f1_scores,origtv_f1_scores,trimtv_f1_scores,cnntv_f1_scores,origsum Kendal,trimsum_kendal,cnnsum_kendal,origtv_kendal,trimtv_kendal,cnntv_kendal,origsum Spear,trimsum_spear,cnnsum_spear,origtv_spear,trimtv_spear,cnntv_spear,origsum_total_times,trimsum_total_times,cnnsum_total_times,origtv_total_times,trimtv_total_times,cnntv_total_times
1,48.5,48.5,47.9,59.4,59.4,57.6,0.1572017811046524,0.1568247285608145,0.1589999848310077,0.06195526017560611,0.06265221129450657,0.04338473741026703,0.2162793977232206,0.21557802541251886,0.21770634352246138,0.0816896420655567,0.08246977577643035,0.05853018351911835,2,3,4,3,4,8
10,48.0,48.5,44.2,59.1,59.3,56.5,0.16084716888633863,0.1609964279092894,0.1434440134969764,0.05979586763186069,0.05776222659029519,-0.0015268314840972206,0.22064253103171586,0.22080153839461564,0.1946089162355197,0.07937777695546687,0.07662003119486353,-0.00190502359176107,6,5,7,12,12,17
50,45.2,45.2,43.3,56.2,56.6,57.6,0.17552882621589888,0.15904624414909563,0.12854188864809105,-0.007363493695029283,-0.0031807795245950565,0.029462716979835456,0.2401553561597424,0.21908397414431208,0.17589413483294822,-0.008048468859971637,-0.0028738543012382317,0.03801980804108511,21,19,24,51,48,61
100,44.8,46.2,45.3,58.7,58.7,58.2,0.1763334315602969,0.14702573357694573,0.029937285882355447,0.02859483877436746,0.01485760895585631,0.04091636919200537,0.2385483807586025,0.20029242023151506,0.043095213977750034,0.03775329684992534,0.019358212115080674,0.05343242227042202,40,37,46,100,94,113
200,43.9,45.3,45.4,59.0,58.3,58.7,0.05673724875742334,0.059393108440332784,-0.04045139191177155,0.029813112464304438,0.03639135137573503,0.023423807295391657,0.07792275387471109,0.08085789672924938,-0.055699743590608475,0.03850273231177528,0.047249324042345955,0.029687651389669285,77,73,87,197,186,220
500,44.5,42.5,42.5,60.2,58.4,58.9,-0.0681126808814708,-0.06392614155873795,-0.09054940810679082,0.055772854961515086,0.05464635704395289,0.03607694860074996,-0.09710875017206212,-0.09062580119113683,-0.12648980169545226,0.0726778567098797,0.07135003002064945,0.04687966487215365,190,181,215,487,463,538
